tgl_transaksi,bulan,kode_cabang,nama_cabang,kode_produk,nama_produk,nama_kategori,jumlah_pembelian,nama_kota,kode_propinsi,nama_propinsi,keuntungan
03/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000028,paracetamol 1 pak,Obat & Alat Medis,5,Jakarta Pusat,P32,DKI Jakarta,4350
03/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000017,air mineral 600 ml,Makanan & Minuman,8,Surabaya,P10,Jawa Timur,240
03/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,14,Surabaya,P10,Jawa Timur,3920
03/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000007,ketimun 1 kg,Buah & Sayur,8,Surabaya,P10,Jawa Timur,1440
03/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000005,kacang hijau 1 kg,Buah & Sayur,5,Surabaya,P10,Jawa Timur,1700
04/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000012,wortel 1 kg,Buah & Sayur,6,Surabaya,P10,Jawa Timur,960
04/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000005,kacang hijau 1 kg,Buah & Sayur,5,Surabaya,P10,Jawa Timur,1700
04/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000017,air mineral 600 ml,Makanan & Minuman,4,Surabaya,P10,Jawa Timur,120
04/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000038,suplemen daya tahan tubuh,Obat & Alat Medis,14,Jakarta Pusat,P32,DKI Jakarta,3080
04/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000034,tissue alkohol 1 pak,Obat & Alat Medis,4,Jakarta Pusat,P32,DKI Jakarta,3520
04/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000024,bumbu fried chicken,Makanan & Minuman,13,Jakarta Pusat,P32,DKI Jakarta,5330
04/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000031,termometer mini 1 buah,Obat & Alat Medis,20,Jakarta Pusat,P32,DKI Jakarta,20200
04/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000036,nebulizer mini 1 buah,Obat & Alat Medis,5,Makassar,P26,Sulawesi Selatan,3200
04/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000022,kacang mete 1 kg,Makanan & Minuman,7,Makassar,P26,Sulawesi Selatan,14840
04/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000022,kacang mete 1 kg,Makanan & Minuman,1,Makassar,P26,Sulawesi Selatan,2120
05/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000010,salak 1 kg,Buah & Sayur,9,Makassar,P26,Sulawesi Selatan,270
05/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000014,telur ayam ras 1 kg,Makanan & Minuman,19,Makassar,P26,Sulawesi Selatan,7600
05/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000025,susu kotak 1 l,Makanan & Minuman,18,Makassar,P26,Sulawesi Selatan,8460
05/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000006,kentang 1 kg,Buah & Sayur,6,Jakarta Pusat,P32,DKI Jakarta,1980
05/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000010,salak 1 kg,Buah & Sayur,15,Jakarta Pusat,P32,DKI Jakarta,450
05/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000030,obat batuk sirup,Obat & Alat Medis,18,Jakarta Pusat,P32,DKI Jakarta,2160
05/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000010,salak 1 kg,Buah & Sayur,2,Jakarta Pusat,P32,DKI Jakarta,60
05/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000032,tissue wajah 1 pak,Obat & Alat Medis,7,Surabaya,P10,Jawa Timur,1330
05/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000025,susu kotak 1 l,Makanan & Minuman,18,Surabaya,P10,Jawa Timur,8460
05/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000012,wortel 1 kg,Buah & Sayur,18,Surabaya,P10,Jawa Timur,2880
06/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000008,pisang 1 sisir,Buah & Sayur,14,Surabaya,P10,Jawa Timur,840
06/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000010,salak 1 kg,Buah & Sayur,1,Surabaya,P10,Jawa Timur,30
06/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000038,suplemen daya tahan tubuh,Obat & Alat Medis,3,Surabaya,P10,Jawa Timur,660
06/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000017,air mineral 600 ml,Makanan & Minuman,9,Jakarta Pusat,P32,DKI Jakarta,270
06/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000041,oksigen medis,Obat & Alat Medis,11,Jakarta Pusat,P32,DKI Jakarta,5720
06/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000036,nebulizer mini 1 buah,Obat & Alat Medis,1,Jakarta Pusat,P32,DKI Jakarta,640
06/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000030,obat batuk sirup,Obat & Alat Medis,7,Makassar,P26,Sulawesi Selatan,840
06/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000004,kacang panjang 1 kg,Buah & Sayur,3,Makassar,P26,Sulawesi Selatan,1020
06/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000025,susu kotak 1 l,Makanan & Minuman,18,Makassar,P26,Sulawesi Selatan,8460
06/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,8,Makassar,P26,Sulawesi Selatan,2240
07/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000033,pulse oximeter 1 buah,Obat & Alat Medis,10,Makassar,P26,Sulawesi Selatan,7000
07/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000031,termometer mini 1 buah,Obat & Alat Medis,17,Makassar,P26,Sulawesi Selatan,17170
07/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000031,termometer mini 1 buah,Obat & Alat Medis,19,Makassar,P26,Sulawesi Selatan,19190
07/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,10,Jakarta Pusat,P32,DKI Jakarta,2800
07/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000022,kacang mete 1 kg,Makanan & Minuman,11,Jakarta Pusat,P32,DKI Jakarta,23320
07/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000036,nebulizer mini 1 buah,Obat & Alat Medis,12,Jakarta Pusat,P32,DKI Jakarta,7680
07/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000014,telur ayam ras 1 kg,Makanan & Minuman,12,Surabaya,P10,Jawa Timur,4800
07/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000035,hand sanitizer,Obat & Alat Medis,5,Surabaya,P10,Jawa Timur,1700
07/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000014,telur ayam ras 1 kg,Makanan & Minuman,13,Surabaya,P10,Jawa Timur,5200
07/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000041,oksigen medis,Obat & Alat Medis,14,Surabaya,P10,Jawa Timur,7280
08/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000029,permen herbal 1 pak,Obat & Alat Medis,1,Surabaya,P10,Jawa Timur,170
08/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000012,wortel 1 kg,Buah & Sayur,7,Surabaya,P10,Jawa Timur,1120
08/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000006,kentang 1 kg,Buah & Sayur,5,Surabaya,P10,Jawa Timur,1650
08/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000027,masker medis 1 pak,Obat & Alat Medis,16,Jakarta Pusat,P32,DKI Jakarta,8800
08/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000038,suplemen daya tahan tubuh,Obat & Alat Medis,1,Jakarta Pusat,P32,DKI Jakarta,220
08/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000027,masker medis 1 pak,Obat & Alat Medis,15,Jakarta Pusat,P32,DKI Jakarta,8250
08/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000005,kacang hijau 1 kg,Buah & Sayur,5,Makassar,P26,Sulawesi Selatan,1700
08/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000030,obat batuk sirup,Obat & Alat Medis,8,Makassar,P26,Sulawesi Selatan,960
08/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000024,bumbu fried chicken,Makanan & Minuman,1,Makassar,P26,Sulawesi Selatan,410
08/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000032,tissue wajah 1 pak,Obat & Alat Medis,15,Makassar,P26,Sulawesi Selatan,2850
09/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000022,kacang mete 1 kg,Makanan & Minuman,19,Makassar,P26,Sulawesi Selatan,40280
09/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000028,paracetamol 1 pak,Obat & Alat Medis,18,Makassar,P26,Sulawesi Selatan,15660
09/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000034,tissue alkohol 1 pak,Obat & Alat Medis,15,Makassar,P26,Sulawesi Selatan,13200
09/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000026,minuman probiotik,Makanan & Minuman,2,Jakarta Pusat,P32,DKI Jakarta,60
09/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000023,markisa 600 ml,Makanan & Minuman,1,Jakarta Pusat,P32,DKI Jakarta,430
09/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,4,Jakarta Pusat,P32,DKI Jakarta,1120
09/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000001,bawang merah 1kg,Buah & Sayur,13,Surabaya,P10,Jawa Timur,5330
09/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000029,permen herbal 1 pak,Obat & Alat Medis,7,Surabaya,P10,Jawa Timur,1190
09/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000020,snack gurih 1 ons,Makanan & Minuman,13,Surabaya,P10,Jawa Timur,2340
09/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000035,hand sanitizer,Obat & Alat Medis,13,Surabaya,P10,Jawa Timur,4420
10/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000006,kentang 1 kg,Buah & Sayur,20,Surabaya,P10,Jawa Timur,6600
10/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000013,susu kotak (800 ml),Makanan & Minuman,6,Surabaya,P10,Jawa Timur,3240
10/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000001,bawang merah 1kg,Buah & Sayur,10,Surabaya,P10,Jawa Timur,4100
10/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000024,bumbu fried chicken,Makanan & Minuman,13,Jakarta Pusat,P32,DKI Jakarta,5330
10/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000028,paracetamol 1 pak,Obat & Alat Medis,10,Jakarta Pusat,P32,DKI Jakarta,8700
10/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000029,permen herbal 1 pak,Obat & Alat Medis,16,Jakarta Pusat,P32,DKI Jakarta,2720
10/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,16,Makassar,P26,Sulawesi Selatan,4480
10/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000036,nebulizer mini 1 buah,Obat & Alat Medis,7,Makassar,P26,Sulawesi Selatan,4480
10/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000026,minuman probiotik,Makanan & Minuman,7,Makassar,P26,Sulawesi Selatan,210
10/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000041,oksigen medis,Obat & Alat Medis,13,Makassar,P26,Sulawesi Selatan,6760
11/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000002,bawang putih 1 kg,Buah & Sayur,10,Makassar,P26,Sulawesi Selatan,1700
11/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,2,Makassar,P26,Sulawesi Selatan,560
11/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000014,telur ayam ras 1 kg,Makanan & Minuman,10,Makassar,P26,Sulawesi Selatan,4000
11/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000038,suplemen daya tahan tubuh,Obat & Alat Medis,3,Jakarta Pusat,P32,DKI Jakarta,660
11/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000036,nebulizer mini 1 buah,Obat & Alat Medis,8,Jakarta Pusat,P32,DKI Jakarta,5120
11/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000034,tissue alkohol 1 pak,Obat & Alat Medis,8,Jakarta Pusat,P32,DKI Jakarta,7040
11/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000041,oksigen medis,Obat & Alat Medis,10,Surabaya,P10,Jawa Timur,5200
11/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000015,telur ayam kampung 1 kg,Makanan & Minuman,19,Surabaya,P10,Jawa Timur,17670
11/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000015,telur ayam kampung 1 kg,Makanan & Minuman,4,Surabaya,P10,Jawa Timur,3720
11/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000030,obat batuk sirup,Obat & Alat Medis,2,Surabaya,P10,Jawa Timur,240
12/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000038,suplemen daya tahan tubuh,Obat & Alat Medis,8,Surabaya,P10,Jawa Timur,1760
12/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000008,pisang 1 sisir,Buah & Sayur,1,Surabaya,P10,Jawa Timur,60
12/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000019,nasi goreng instant (1 ons),Makanan & Minuman,7,Surabaya,P10,Jawa Timur,1400
12/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000026,minuman probiotik,Makanan & Minuman,4,Jakarta Pusat,P32,DKI Jakarta,120
12/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000023,markisa 600 ml,Makanan & Minuman,10,Jakarta Pusat,P32,DKI Jakarta,4300
12/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000030,obat batuk sirup,Obat & Alat Medis,12,Jakarta Pusat,P32,DKI Jakarta,1440
12/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000034,tissue alkohol 1 pak,Obat & Alat Medis,13,Makassar,P26,Sulawesi Selatan,11440
12/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000020,snack gurih 1 ons,Makanan & Minuman,13,Makassar,P26,Sulawesi Selatan,2340
12/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000011,semangka 1 buah,Buah & Sayur,12,Makassar,P26,Sulawesi Selatan,360
12/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000036,nebulizer mini 1 buah,Obat & Alat Medis,20,Makassar,P26,Sulawesi Selatan,12800
13/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000018,jus kesehatan 600 ml,Makanan & Minuman,17,Makassar,P26,Sulawesi Selatan,4760
13/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000025,susu kotak 1 l,Makanan & Minuman,6,Makassar,P26,Sulawesi Selatan,2820
13/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000005,kacang hijau 1 kg,Buah & Sayur,19,Makassar,P26,Sulawesi Selatan,6460
13/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000028,paracetamol 1 pak,Obat & Alat Medis,5,Jakarta Pusat,P32,DKI Jakarta,4350
13/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000022,kacang mete 1 kg,Makanan & Minuman,3,Jakarta Pusat,P32,DKI Jakarta,6360
13/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000032,tissue wajah 1 pak,Obat & Alat Medis,20,Jakarta Pusat,P32,DKI Jakarta,3800
13/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000030,obat batuk sirup,Obat & Alat Medis,16,Surabaya,P10,Jawa Timur,1920
13/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000036,nebulizer mini 1 buah,Obat & Alat Medis,17,Surabaya,P10,Jawa Timur,10880
13/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000031,termometer mini 1 buah,Obat & Alat Medis,2,Surabaya,P10,Jawa Timur,2020
14/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000041,oksigen medis,Obat & Alat Medis,17,Surabaya,P10,Jawa Timur,8840
14/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000030,obat batuk sirup,Obat & Alat Medis,1,Surabaya,P10,Jawa Timur,120
14/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000013,susu kotak (800 ml),Makanan & Minuman,3,Surabaya,P10,Jawa Timur,1620
14/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000005,kacang hijau 1 kg,Buah & Sayur,14,Surabaya,P10,Jawa Timur,4760
14/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000030,obat batuk sirup,Obat & Alat Medis,2,Makassar,P26,Sulawesi Selatan,240
14/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000023,markisa 600 ml,Makanan & Minuman,4,Makassar,P26,Sulawesi Selatan,1720
14/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000032,tissue wajah 1 pak,Obat & Alat Medis,7,Makassar,P26,Sulawesi Selatan,1330
14/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000011,semangka 1 buah,Buah & Sayur,18,Jakarta Pusat,P32,DKI Jakarta,540
14/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000020,snack gurih 1 ons,Makanan & Minuman,15,Jakarta Pusat,P32,DKI Jakarta,2700
14/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000034,tissue alkohol 1 pak,Obat & Alat Medis,16,Jakarta Pusat,P32,DKI Jakarta,14080
15/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000019,nasi goreng instant (1 ons),Makanan & Minuman,18,Jakarta Pusat,P32,DKI Jakarta,3600
15/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000037,alkohol,Obat & Alat Medis,4,Jakarta Pusat,P32,DKI Jakarta,920
15/01/2020 0:00,1,CABANG-047,PHI Mini Market - Jakarta Pusat 01,PROD-0000013,susu kotak (800 ml),Makanan & Minuman,7,Jakarta Pusat,P32,DKI Jakarta,3780
15/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000025,susu kotak 1 l,Makanan & Minuman,13,Surabaya,P10,Jawa Timur,6110
15/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000039,masker hijab 1 pak,Obat & Alat Medis,4,Surabaya,P10,Jawa Timur,720
15/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000033,pulse oximeter 1 buah,Obat & Alat Medis,17,Surabaya,P10,Jawa Timur,11900
15/01/2020 0:00,1,CABANG-065,PHI Mini Market - Surabaya 01,PROD-0000029,permen herbal 1 pak,Obat & Alat Medis,3,Surabaya,P10,Jawa Timur,510
15/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000040,perban 1 pak,Obat & Alat Medis,7,Makassar,P26,Sulawesi Selatan,3920
15/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000014,telur ayam ras 1 kg,Makanan & Minuman,4,Makassar,P26,Sulawesi Selatan,1600
15/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000019,nasi goreng instant (1 ons),Makanan & Minuman,5,Makassar,P26,Sulawesi Selatan,1000
16/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000002,bawang putih 1 kg,Buah & Sayur,12,Makassar,P26,Sulawesi Selatan,2040
16/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000015,telur ayam kampung 1 kg,Makanan & Minuman,14,Makassar,P26,Sulawesi Selatan,13020
16/01/2020 0:00,1,CABANG-039,PHI Mini Market - Makassar 01,PROD-0000009,rambutan 1 kg,Buah & Sayur,3,Makassar,P26,Sulawesi Selatan,330
